iter	Passed	Remaining
784	2586	708
785	2589	704
786	2592	701
787	2595	698
788	2597	694
789	2600	691
790	2606	688
791	2609	685
792	2612	681
793	2615	678
794	2618	675
795	2621	671
796	2624	668
797	2628	665
798	2631	662
799	2634	658
800	2637	655
801	2640	651
802	2643	648
803	2646	645
804	2649	641
805	2653	638
806	2656	635
807	2658	631
808	2662	628
809	2665	625
810	2669	622
811	2673	618
812	2675	615
813	2679	612
814	2682	608
815	2685	605
816	2688	602
817	2691	598
818	2694	595
819	2697	592
820	2702	589
821	2705	585
822	2707	582
823	2711	579
824	2714	575
825	2717	572
826	2720	569
827	2723	565
828	2726	562
829	2729	559
830	2732	555
831	2736	552
832	2739	549
833	2741	545
834	2744	542
835	2747	538
836	2750	535
837	2753	532
838	2756	529
839	2759	525
840	2762	522
841	2765	518
842	2769	515
843	2772	512
844	2775	509
845	2778	505
846	2782	502
847	2785	499
848	2788	495
849	2790	492
850	2793	489
851	2797	485
852	2800	482
853	2803	479
854	2806	475
855	2809	472
856	2812	469
857	2816	466
858	2819	462
859	2822	459
860	2826	456
861	2828	452
862	2832	449
863	2835	446
864	2838	442
865	2841	439
866	2844	436
867	2846	432
868	2849	429
869	2852	426
870	2855	422
871	2858	419
872	2861	416
873	2866	413
874	2869	409
875	2873	406
876	2876	403
877	2878	400
878	2882	396
879	2884	393
880	2887	390
881	2890	386
882	2893	383
883	2895	379
884	2900	376
885	2903	373
886	2907	370
887	2910	367
888	2913	363
889	2916	360
890	2919	357
891	2922	353
892	2924	350
893	2927	347
894	2931	343
895	2934	340
896	2937	337
897	2940	334
898	2943	330
899	2946	327
900	2949	324
901	2952	320
902	2955	317
903	2958	314
904	2962	310
905	2965	307
906	2968	304
907	2970	301
908	2975	297
909	2980	294
910	2983	291
911	2987	288
912	2990	284
913	2993	281
914	2997	278
915	3000	275
916	3004	271
917	3007	268
918	3009	265
919	3013	262
920	3015	258
921	3018	255
922	3021	252
923	3024	248
924	3027	245
925	3030	242
926	3033	238
927	3036	235
928	3039	232
929	3042	228
930	3047	225
931	3050	222
932	3054	219
933	3056	216
934	3059	212
935	3062	209
936	3065	206
937	3069	202
938	3072	199
939	3077	196
940	3081	193
941	3084	189
942	3086	186
943	3090	183
944	3092	180
945	3096	176
946	3099	173
947	3102	170
948	3104	166
949	3107	163
950	3111	160
951	3114	157
952	3117	153
953	3120	150
954	3123	147
955	3125	143
956	3130	140
957	3133	137
958	3136	134
959	3139	130
960	3143	127
961	3146	124
962	3149	121
963	3153	117
964	3156	114
965	3160	111
966	3163	107
967	3166	104
968	3170	101
969	3173	98
970	3177	94
971	3179	91
972	3183	88
973	3186	85
974	3189	81
975	3191	78
976	3196	75
977	3199	71
978	3202	68
979	3205	65
980	3208	62
981	3212	58
982	3215	55
983	3218	52
984	3221	49
985	3226	45
986	3229	42
987	3233	39
988	3236	35
989	3239	32
990	3243	29
991	3245	26
992	3248	22
993	3251	19
994	3254	16
995	3259	13
996	3262	9
997	3266	6
998	3269	3
999	3272	0
